Year,Month,Day of the Week,Hour,Location Type,Status,Day Part
2014,May,Friday,6,Unknown,Stolen,Morning
2014,May,Tuesday,5,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Overnight
2014,May,Thursday,7,"Streets, Roads, Highways",Stolen,Morning
2014,May,Tuesday,8,Apartment,Stolen,Morning
2014,May,Tuesday,15,"Single Home, House",Stolen,Afternoon
2014,May,Wednesday,11,"Streets, Roads, Highways",Stolen,Morning
2014,April,Monday,6,"Single Home, House",Stolen,Morning
2014,May,Wednesday,13,Apartment,Stolen,Afternoon
2014,May,Wednesday,7,Private Property Structure,Stolen,Morning
2014,May,Monday,8,"Streets, Roads, Highways",Stolen,Morning
2014,May,Sunday,18,Hospital / Institutions / Medical Facilities,Stolen,Evening
2014,May,Monday,15,"Single Home, House",Recovered,Afternoon
2014,May,Monday,15,"Single Home, House",Stolen,Afternoon
2014,May,Wednesday,7,Parking Lots,Stolen,Morning
2014,May,Wednesday,12,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2014,May,Thursday,14,"Single Home, House",Stolen,Afternoon
2014,May,Thursday,14,Parking Lots,Stolen,Afternoon
2014,May,Thursday,7,Private Property Structure,Stolen,Morning
2014,May,Monday,23,"Single Home, House",Stolen,Evening
2014,May,Thursday,9,"Streets, Roads, Highways",Stolen,Morning
2014,May,Tuesday,16,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Tuesday,9,Other Passenger Train,Stolen,Morning
2014,May,Thursday,8,Go Station,Stolen,Morning
2014,May,Wednesday,16,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Thursday,15,Unknown,Stolen,Afternoon
2014,May,Monday,21,Apartment,Stolen,Evening
2014,May,Monday,23,"Single Home, House",Stolen,Evening
2014,May,Thursday,7,Private Property Structure,Stolen,Morning
2014,May,Thursday,15,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Monday,23,Private Property Structure,Stolen,Evening
2014,May,Monday,23,Private Property Structure,Stolen,Evening
2014,May,Monday,23,Private Property Structure,Stolen,Evening
2014,May,Tuesday,17,Universities / Colleges,Stolen,Afternoon
2014,May,Tuesday,7,"Streets, Roads, Highways",Stolen,Morning
2014,May,Friday,16,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Friday,15,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Saturday,20,Private Property Structure,Stolen,Evening
2014,May,Friday,21,"Streets, Roads, Highways",Stolen,Evening
2014,May,Saturday,20,Private Property Structure,Stolen,Evening
2014,April,Monday,8,Schools During Un-Supervised Activity,Stolen,Morning
2014,May,Wednesday,15,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Friday,11,Hospital / Institutions / Medical Facilities,Stolen,Morning
2014,May,Thursday,10,Other Train Admin Or Support Facility,Stolen,Morning
2014,May,Thursday,7,Parking Lots,Stolen,Morning
2014,May,Friday,15,"Single Home, House",Stolen,Afternoon
2014,May,Monday,12,Apartment,Stolen,Afternoon
2014,May,Saturday,18,"Streets, Roads, Highways",Stolen,Evening
2014,May,Saturday,19,Parking Lots,Stolen,Evening
2014,May,Friday,15,"Single Home, House",Stolen,Afternoon
2014,May,Sunday,3,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Overnight
2014,May,Friday,13,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Thursday,8,"Streets, Roads, Highways",Stolen,Morning
2014,May,Sunday,13,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Friday,14,Apartment,Stolen,Afternoon
2014,May,Friday,8,"Streets, Roads, Highways",Stolen,Morning
2014,May,Sunday,11,"Streets, Roads, Highways",Stolen,Morning
2014,April,Friday,17,"Single Home, House",Stolen,Afternoon
2014,May,Sunday,21,Other Non Commercial / Corporate Places,Recovered,Evening
2014,May,Monday,21,"Single Home, House",Stolen,Evening
2014,May,Tuesday,8,Ttc Subway Station,Stolen,Morning
2014,May,Tuesday,12,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Wednesday,8,Schools During Un-Supervised Activity,Stolen,Morning
2014,May,Monday,22,"Single Home, House",Stolen,Evening
2014,May,Thursday,20,"Streets, Roads, Highways",Stolen,Evening
2014,May,Monday,22,"Single Home, House",Stolen,Evening
2014,May,Monday,9,"Single Home, House",Stolen,Morning
2014,May,Saturday,12,Private Property Structure,Stolen,Afternoon
2014,May,Monday,20,"Single Home, House",Stolen,Evening
2014,May,Sunday,8,Universities / Colleges,Stolen,Morning
2014,May,Monday,20,"Single Home, House",Stolen,Evening
2014,May,Wednesday,21,"Streets, Roads, Highways",Stolen,Evening
2014,May,Wednesday,10,"Streets, Roads, Highways",Unknown,Morning
2014,May,Wednesday,9,"Streets, Roads, Highways",Stolen,Morning
2014,May,Wednesday,18,"Single Home, House",Stolen,Evening
2014,May,Wednesday,18,"Single Home, House",Stolen,Evening
2014,May,Thursday,14,Private Property Structure,Stolen,Afternoon
2014,May,Wednesday,16,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2014,May,Wednesday,10,Apartment,Stolen,Morning
2014,May,Wednesday,18,"Streets, Roads, Highways",Stolen,Evening
2014,May,Monday,18,Schools During Un-Supervised Activity,Stolen,Evening
2014,May,Tuesday,22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
